label,Aeroplane,Bicycle,Bird,Boat,Bottle,Bus,Car,Cat,Chair,Cow,Diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
Aeroplane,1,0.43,0.1,0.35,0.3,0.43,0.1,0.07,0.23,0.54,0.8,0.12,0.33,0.06,0.3,0.09,0.77,0.25,0.08,0.13
Bicycle,0.35,1,0.05,0.5,0.5,0.9,0.07,0.06,0.27,0.9,0.69,0.06,0.5,0.07,0.55,0.08,0.46,0.4,0.08,0.06
Bird,0.181,0.21,1,0.86,0.23,0.31,0.83,0.05,0.31,0.32,0.32,0.7,0.77,0.1,0.48,0.4,0.18,0.46,0.34,0.53
Boat,0.36,0.53,0.86,1,0.59,0.56,0.88,0.93,0.65,0.53,0.46,0.82,0.77,0.84,0.66,0.98,0.41,0.68,0.98,0.78
Bottle,0.39,0.76,0.15,0.59,1,0.86,0.15,0.05,0.74,0.77,0.62,0.21,0.72,0.06,0.8,0.11,0.47,0.72,0.1,0.28
Bus,0.27,0.88,0.27,0.57,0.78,1,0.27,0.2,0.58,0.85,0.64,0.3,0.65,0.19,0.69,0.24,0.38,0.6,0.23,0.33
Car,0.12,0.1,0.78,0.88,0.1,0.22,1,0.27,0.15,0.25,0.26,0.45,0.73,0.25,0.39,0.57,0.11,0.34,0.51,0.27
Cat,0.09,0.07,0.05,0.93,0.06,0.13,0.14,1,0.07,0.16,0.19,0.05,0.48,0.58,0.21,0.54,0.09,0.16,0.73,0.04
Chair,0.15,0.22,0.2,0.66,0.38,0.56,0.22,0.15,1,0.52,0.44,0.23,0.83,0.15,0.98,0.2,0.15,0.9,0.2,0.27
Cow,0.65,0.95,0.37,0.54,0.81,0.91,0.35,0.2,0.68,1,0.83,0.41,0.65,0.16,0.72,0.27,0.78,0.66,0.25,0.46
Diningtable,0.73,0.65,0.28,0.46,0.52,0.64,0.27,0.21,0.44,0.75,1,0.3,0.49,0.2,0.49,0.25,0.96,0.44,0.24,0.32
dog,0.18,0.23,0.62,0.82,0.26,0.35,0.55,0.51,0.37,0.39,0.34,1,0.84,0.09,0.55,0.28,0.19,0.54,0.26,0.74
horse,0.35,0.6,0.76,0.77,0.72,0.66,0.73,0.48,0.84,0.61,0.51,0.84,1,0.4,0.85,0.6,0.42,0.89,0.56,0.9
motorbike,0.1,0.09,0.11,0.84,0.09,0.14,0.15,0.43,0.1,0.16,0.18,0.1,0.4,1,0.19,0.33,0.1,0.16,0.43,0.09
person,0.37,0.66,0.45,0.66,0.83,0.75,0.42,0.2,0.99,0.68,0.56,0.54,0.85,0.17,1,0.31,0.44,0.93,0.28,0.62
pottedplant,0.08,0.08,0.53,0.98,0.08,0.16,0.64,0.73,0.13,0.19,0.21,0.39,0.6,0.56,0.29,1,0.08,0.26,0.9,0.29
sheep,0.62,0.55,0.28,0.46,0.44,0.57,0.28,0.24,0.39,0.68,0.96,0.3,0.47,0.23,0.45,0.26,1,0.41,0.26,0.31
sofa,0.15,0.39,0.49,0.69,0.62,0.58,0.47,0.3,0.91,0.53,0.43,0.56,0.89,0.27,0.93,0.39,0.18,1,0.37,0.64
train,0.1,0.09,0.36,0.98,0.09,0.16,0.48,0.78,0.13,0.19,0.21,0.27,0.56,0.56,0.27,0.88,0.09,0.23,1,0.2
tvmonitor,0.34,0.51,0.79,0.79,0.6,0.57,0.73,0.3,0.71,0.54,0.47,0.9,0.92,0.2,0.74,0.51,0.38,0.77,0.45,1