Ground_Truth,Prediction,Occurences
aeroplane,aeroplane,0
aeroplane,bicycle,0
aeroplane,bird,0
aeroplane,boat,0
aeroplane,bottle,0
aeroplane,bus,0
aeroplane,car,0
aeroplane,cat,0
aeroplane,chair,0
aeroplane,cow,0
aeroplane,diningtable,0
aeroplane,dog,0
aeroplane,horse,0
aeroplane,motorbike,0
aeroplane,person,3
aeroplane,pottedplant,1
aeroplane,sheep,0
aeroplane,sofa,0
aeroplane,train,1
aeroplane,tvmonitor,0
bicycle,aeroplane,0
bicycle,bicycle,0
bicycle,bird,0
bicycle,boat,0
bicycle,bottle,0
bicycle,bus,0
bicycle,car,0
bicycle,cat,0
bicycle,chair,2
bicycle,cow,0
bicycle,diningtable,0
bicycle,dog,0
bicycle,horse,0
bicycle,motorbike,1
bicycle,person,2
bicycle,pottedplant,2
bicycle,sheep,0
bicycle,sofa,0
bicycle,train,1
bicycle,tvmonitor,1
bird,aeroplane,0
bird,bicycle,0
bird,bird,0
bird,boat,0
bird,bottle,0
bird,bus,0
bird,car,0
bird,cat,0
bird,chair,2
bird,cow,0
bird,diningtable,0
bird,dog,0
bird,horse,1
bird,motorbike,0
bird,person,0
bird,pottedplant,1
bird,sheep,1
bird,sofa,0
bird,train,0
bird,tvmonitor,0
boat,aeroplane,0
boat,bicycle,0
boat,bird,1
boat,boat,0
boat,bottle,0
boat,bus,0
boat,car,0
boat,cat,0
boat,chair,0
boat,cow,0
boat,diningtable,0
boat,dog,0
boat,horse,0
boat,motorbike,0
boat,person,1
boat,pottedplant,0
boat,sheep,0
boat,sofa,0
boat,train,0
boat,tvmonitor,0
bottle,aeroplane,0
bottle,bicycle,0
bottle,bird,0
bottle,boat,0
bottle,bottle,0
bottle,bus,0
bottle,car,0
bottle,cat,0
bottle,chair,0
bottle,cow,0
bottle,diningtable,2
bottle,dog,0
bottle,horse,0
bottle,motorbike,0
bottle,person,0
bottle,pottedplant,1
bottle,sheep,0
bottle,sofa,0
bottle,train,0
bottle,tvmonitor,0
bus,aeroplane,0
bus,bicycle,0
bus,bird,0
bus,boat,0
bus,bottle,0
bus,bus,0
bus,car,1
bus,cat,0
bus,chair,0
bus,cow,0
bus,diningtable,0
bus,dog,0
bus,horse,0
bus,motorbike,0
bus,person,5
bus,pottedplant,1
bus,sheep,0
bus,sofa,0
bus,train,0
bus,tvmonitor,0
car,aeroplane,1
car,bicycle,0
car,bird,0
car,boat,0
car,bottle,0
car,bus,1
car,car,0
car,cat,0
car,chair,0
car,cow,0
car,diningtable,0
car,dog,0
car,horse,1
car,motorbike,1
car,person,5
car,pottedplant,3
car,sheep,0
car,sofa,0
car,train,0
car,tvmonitor,3
cat,aeroplane,0
cat,bicycle,0
cat,bird,0
cat,boat,0
cat,bottle,1
cat,bus,0
cat,car,1
cat,cat,0
cat,chair,0
cat,cow,0
cat,diningtable,1
cat,dog,1
cat,horse,0
cat,motorbike,0
cat,person,0
cat,pottedplant,0
cat,sheep,0
cat,sofa,1
cat,train,0
cat,tvmonitor,0
chair,aeroplane,0
chair,bicycle,2
chair,bird,0
chair,boat,1
chair,bottle,0
chair,bus,0
chair,car,0
chair,cat,0
chair,chair,0
chair,cow,0
chair,diningtable,1
chair,dog,0
chair,horse,0
chair,motorbike,0
chair,person,2
chair,pottedplant,7
chair,sheep,0
chair,sofa,4
chair,train,0
chair,tvmonitor,2
cow,aeroplane,0
cow,bicycle,0
cow,bird,0
cow,boat,0
cow,bottle,0
cow,bus,0
cow,car,0
cow,cat,0
cow,chair,0
cow,cow,0
cow,diningtable,0
cow,dog,0
cow,horse,2
cow,motorbike,0
cow,person,1
cow,pottedplant,0
cow,sheep,1
cow,sofa,0
cow,train,0
cow,tvmonitor,0
diningtable,aeroplane,0
diningtable,bicycle,1
diningtable,bird,0
diningtable,boat,1
diningtable,bottle,0
diningtable,bus,0
diningtable,car,0
diningtable,cat,0
diningtable,chair,0
diningtable,cow,0
diningtable,diningtable,0
diningtable,dog,1
diningtable,horse,0
diningtable,motorbike,0
diningtable,person,1
diningtable,pottedplant,4
diningtable,sheep,0
diningtable,sofa,0
diningtable,train,0
diningtable,tvmonitor,0
dog,aeroplane,0
dog,bicycle,1
dog,bird,1
dog,boat,0
dog,bottle,1
dog,bus,0
dog,car,1
dog,cat,1
dog,chair,1
dog,cow,1
dog,diningtable,0
dog,dog,0
dog,horse,1
dog,motorbike,0
dog,person,1
dog,pottedplant,2
dog,sheep,1
dog,sofa,2
dog,train,0
dog,tvmonitor,0
horse,aeroplane,0
horse,bicycle,0
horse,bird,0
horse,boat,0
horse,bottle,0
horse,bus,0
horse,car,0
horse,cat,0
horse,chair,0
horse,cow,2
horse,diningtable,0
horse,dog,1
horse,horse,0
horse,motorbike,0
horse,person,0
horse,pottedplant,0
horse,sheep,0
horse,sofa,0
horse,train,0
horse,tvmonitor,0
motorbike,aeroplane,0
motorbike,bicycle,0
motorbike,bird,0
motorbike,boat,0
motorbike,bottle,0
motorbike,bus,0
motorbike,car,0
motorbike,cat,0
motorbike,chair,1
motorbike,cow,0
motorbike,diningtable,0
motorbike,dog,0
motorbike,horse,0
motorbike,motorbike,0
motorbike,person,3
motorbike,pottedplant,0
motorbike,sheep,0
motorbike,sofa,0
motorbike,train,0
motorbike,tvmonitor,1
person,aeroplane,1
person,bicycle,0
person,bird,1
person,boat,0
person,bottle,3
person,bus,0
person,car,2
person,cat,1
person,chair,7
person,cow,1
person,diningtable,2
person,dog,2
person,horse,0
person,motorbike,3
person,person,0
person,pottedplant,11
person,sheep,2
person,sofa,2
person,train,0
person,tvmonitor,2
pottedplant,aeroplane,0
pottedplant,bicycle,0
pottedplant,bird,0
pottedplant,boat,0
pottedplant,bottle,0
pottedplant,bus,0
pottedplant,car,0
pottedplant,cat,0
pottedplant,chair,2
pottedplant,cow,0
pottedplant,diningtable,1
pottedplant,dog,1
pottedplant,horse,0
pottedplant,motorbike,0
pottedplant,person,4
pottedplant,pottedplant,0
pottedplant,sheep,0
pottedplant,sofa,0
pottedplant,train,0
pottedplant,tvmonitor,0
sheep,aeroplane,0
sheep,bicycle,0
sheep,bird,0
sheep,boat,0
sheep,bottle,0
sheep,bus,0
sheep,car,0
sheep,cat,0
sheep,chair,0
sheep,cow,0
sheep,diningtable,0
sheep,dog,0
sheep,horse,0
sheep,motorbike,0
sheep,person,0
sheep,pottedplant,0
sheep,sheep,0
sheep,sofa,0
sheep,train,0
sheep,tvmonitor,0
sofa,aeroplane,0
sofa,bicycle,1
sofa,bird,0
sofa,boat,0
sofa,bottle,0
sofa,bus,0
sofa,car,0
sofa,cat,0
sofa,chair,2
sofa,cow,0
sofa,diningtable,0
sofa,dog,2
sofa,horse,0
sofa,motorbike,0
sofa,person,2
sofa,pottedplant,3
sofa,sheep,0
sofa,sofa,0
sofa,train,0
sofa,tvmonitor,1
train,aeroplane,0
train,bicycle,0
train,bird,1
train,boat,0
train,bottle,0
train,bus,0
train,car,1
train,cat,0
train,chair,1
train,cow,0
train,diningtable,0
train,dog,0
train,horse,0
train,motorbike,0
train,person,0
train,pottedplant,1
train,sheep,0
train,sofa,0
train,train,0
train,tvmonitor,0
tvmonitor,aeroplane,0
tvmonitor,bicycle,1
tvmonitor,bird,0
tvmonitor,boat,0
tvmonitor,bottle,0
tvmonitor,bus,0
tvmonitor,car,0
tvmonitor,cat,0
tvmonitor,chair,2
tvmonitor,cow,0
tvmonitor,diningtable,0
tvmonitor,dog,1
tvmonitor,horse,0
tvmonitor,motorbike,0
tvmonitor,person,1
tvmonitor,pottedplant,2
tvmonitor,sheep,0
tvmonitor,sofa,2
tvmonitor,train,0
tvmonitor,tvmonitor,0
